tf	target	weight
b3190	b4147	82.668
b1658	b1062	82.619
b4205	b4017	82.581
b1564	b2377	82.572
b1987	b0830	82.554
b3906	b3327	82.541
b2125	b2149	82.476
b0080	b2094	82.406
b0080	b2093	82.305
b0080	b2095	82.294
b3067	b2614	82.291
b0080	b2092	82.262
b3071	b4324	82.249
b3481	b3479	82.213
b3261	b2606	82.187
b2017	b0461	82.181
b2980	b3995	82.143
b1853	b3934	82.122
b1987	b0831	82.052
b2127	b1428	82.05
b4324	b3071	82.033
b4118	b2219	81.934
b4205	b4047	81.869
b3067	b0492	81.839
b2409	b3668	81.699
b0346	b3846	81.658
b1563	b0225	81.499
b3905	b4101	81.384
b1563	b1667	81.383
b4300	b4304	81.382
b1739	b4051	81.365
b2856	b3047	81.363
b1531	b0356	81.316
b3423	b3425	81.307
b3897	b3080	81.303
b1891	b1904	81.263
b1303	b1307	81.194
b1658	b2312	81.162
b2869	b2146	81.139
b3188	b3085	81.135
b3067	b3687	80.932
b4102	b4099	80.915
b4118	b4357	80.9
b1422	b3995	80.881
b1892	b0764	80.877
b2409	b2930	80.856
b3118	b2708	80.795
b4118	b2877	80.751
b4300	b4305	80.71
b1187	b1186	80.697
b3555	b1004	80.613
b1422	b0598	80.593
b1040	b0855	80.527
b3555	b3098	80.519
b1988	b3519	80.495
b1892	b1044	80.487
b3753	b3748	80.472
b0676	b0097	80.465
b3555	b1003	80.429
b3094	b2017	80.402
b0603	b0375	80.277
b1512	b1444	80.188
b3119	b2850	80.142
b3190	b2939	80.101
b3555	b1953	80.025
b0272	b1692	79.993
b3897	b4341	79.805
b0768	b0644	79.782
b3906	b3140	79.764
b1987	b0829	79.708
b2805	b1799	79.677
b1658	b4246	79.628
b2869	b2341	79.595
b2125	b3223	79.594
b4357	b4118	79.564
b1384	b2341	79.517
b2805	b3885	79.495
b3094	b4539	79.454
b3934	b1853	79.371
b1892	b1194	79.342
b4292	b0583	79.329
b0080	b0735	79.264
b2981	b3900	79.26
b3684	b4184	79.201
b2852	b3119	79.126
b3555	b1188	79.095
